file,backend,algorithm,dtype,size,tag,real_time_ns,cpu_time_ns,gbps,repetitions
exa03_gnu.json,GNU-OMP,find,double,8,,28.574370915234415,70.6936106494903,7559200326.830162,11
exa03_gnu.json,GNU-OMP,find,double,16,,31.07510085747665,75.73616139922062,13121384097.374779,11
exa03_gnu.json,GNU-OMP,find,double,32,,36.268774731720264,88.43494960363373,21818686545.032524,11
exa03_gnu.json,GNU-OMP,find,double,64,,45.968602746087385,113.93905425638816,33933784379.113148,11
exa03_gnu.json,GNU-OMP,find,double,128,,66.16357612947351,159.65184539902543,46790427176.58632,11
exa03_gnu.json,GNU-OMP,find,double,256,,107.36857409847411,249.7127543348169,57436781734.03703,11
exa03_gnu.json,GNU-OMP,find,double,512,,15083.685714285713,15646.914285533901,801100555.8550688,11
exa03_gnu.json,GNU-OMP,find,double,1024,,21233.898111856786,22118.698463832887,1156826224.4208772,11
exa03_gnu.json,GNU-OMP,find,double,2048,,25142.077421678197,26802.314944184294,1953978428.898623,11
exa03_gnu.json,GNU-OMP,find,double,4096,,26983.76566483846,30116.6486904116,3635596240.7193346,11
exa03_gnu.json,GNU-OMP,find,double,8192,,28163.06104844599,34286.018859044,6980098042.577171,11
exa03_gnu.json,GNU-OMP,find,double,16384,,28581.513666879775,40634.93334398979,13718529347.833296,11
exa03_gnu.json,GNU-OMP,find,double,32768,,29459.76712664046,53319.58056294045,26678908063.379852,11
exa03_gnu.json,GNU-OMP,find,double,65536,,30008.58616277068,77576.00870158651,52327162132.663246,11
exa03_gnu.json,GNU-OMP,find,double,131072,,29983.073914343124,124955.5962252873,104524529443.895,11
exa03_gnu.json,GNU-OMP,find,double,262144,,31748.649919253636,221560.95446797056,198114765200.13077,11
exa03_gnu.json,GNU-OMP,find,double,524288,,34721.40488794331,413803.42116459605,361728878666.41846,11
exa03_gnu.json,GNU-OMP,find,double,1048576,,42584.34544334975,800583.4808497533,585135323228.2018,11
exa03_gnu.json,GNU-OMP,find,double,2097152,,54397.98390202569,1574414.5048910116,925059362649.3798,11
exa03_gnu.json,GNU-OMP,find,double,4194304,,92499.75544698263,3212118.827650867,1087853785770.6124,11
exa03_gnu.json,GNU-OMP,find,double,8388608,,291840.74893616966,6636493.082382975,689745145158.6523,11
exa03_gnu.json,GNU-OMP,find,double,16777216,,1229558.4458804526,14037166.81421658,306341007968.17377,11
exa03_gnu.json,GNU-OMP,find,double,33554432,,6687954.859999999,30281387.499999255,114896331373.99243,11
exa03_gnu.json,GNU-OMP,find,double,67108864,,11230038.669999992,58323592.510000706,133196042999.72554,11
exa03_gnu.json,GNU-OMP,find,double,134217728,,17608766.36363636,111493072.97727194,173312935210.269,11
exa03_gnu.json,GNU-OMP,find,double,268435456,,31462579.941176463,230363291.64706197,196885424346.18842,11
exa03_gnu.json,GNU-OMP,for_each,double,8,,26.301367374200055,49.87856853280885,8212091033.052498,11
exa03_gnu.json,GNU-OMP,for_each,double,16,,33.85740905928252,57.42345701043758,12049596017.349506,11
